#
1טער קאפיטעל	CHAPTER I .
#
דעראנדא האט געקוקט אויף זיי מיט דעם גרעסטען רעספעקט . ער האט געפיהלטאז ער איז נישט מעהר יחסן פ .	`` Some of them .
אר זיי .	
ער האט ארויסגענומען די ציגארעןטאש פון קעשענע און אלעמען אויפגעוואכט . ער האט אליין זעהר ייייניגגערויכערט .	I do n't see why we should not use our choice there as we do elsewhere -- or why either age or novelty by itself is an argument for or against .
ער האט ליעב געהאט שטענדיג מיט זיך צו האבען ציגארען ,טאמער וועט אימיצער וועלען . די פערזאמעלטע זיינען צופריעדען געווען פוןדעראנדא'ן און זיינען גלייך צוגעטרעטען צו זייער פאריגען שמועס .	To delight in doing things because our fathers did them is good if it shuts out nothing better ; it enlarges the range of affection -- and affection is the broadest basis of good in life . ``
#
— היינט אבענד רעדען מיר נישט וועגען א בעשטימטער זאך ביז מיר קומען צוא רעזולטאט — האט מילער וואס איז געווען דער פארזיצענדער געזאגט צודער .	`` Do you think so ?
אנדא'ן — אמאל האלטען מיר זיך שטרענג אן ביי איין ענין .	`` said Gwendolen with a little surprise .
היינטאבער האט פריינד פאש גערעדט וועגען פראגרעס און מיר האבען זיךאבנעגעבען מיט דער סטאטיסטיק פון דעם . לילי האט געזאגט אז נישט לויטדער צאהל פון די מענשען איז דער פראגרעס .	`` I should have thought you cared most about ideas , knowledge , wisdom , and all that .
איך זאג אז דער געדאנק ,דער אידעאל איז דאס וויכטיגסטע אין לעבען .	``
#
— איהר זענט נישט גערעכט , פריינד מילער — האט דער סטאליאר גודווין זיךאנגערופען — יעדע זאך אין לעבען איז אן אידעאל . די מינדסטע זאך וואסדער מענש טהוט איז אן אידעאל .	`` But to care about _them_ is a sort of affection , '' said Deronda , smiling at her sudden _naïveté_ .
די מענשען ווייסען אבער דאס נישט . אוןוואס מעהר די אידעאלען האלטען זיך צוזאמען אלץ קעסער איז .	`` Call it attachment ; interest , willing to bear a great deal for the sake of being with them and saving them from injury .
— אויב אזוי — האט פאש אריינגערעדט —  . וואס זעהן מיר נארישע ,ווערטלאזע אידעאלען און געדאנקען האבען גראד גרויסען ערפאלג , מעהרווי רי וויכטיגע און נויטיגע , און רוק .	Of course , it makes a difference if the objects of interest are human beings ; but generally in all deep affections the objects are a mixture -- half persons and half ideas -- sentiments and affections flow in together .
א זיי נעהמט אויף האט פאלק אוןערפילט זיי  ?	``
#
— עס קען זיין אז דער ווינד טראגט זיי אין זיך און אזוי קומען זיי צודי מענשען — האט מערעבעלס געזאגט .	`` I wonder whether I understand that , '' said Gwendolen , putting up her chin in her old saucy manner . `` I believe I am not very affectionate ; perhaps you mean to tell me , that is the reason why I do n't see much good in life .
	``
#
— יא , — האט פאש געזאגט און זיין טונקעל פנים האט אויפגעשיינט — אטאיז דער אידעאל פון נאציאנאליזם . איך דענק אז די ווילדע אייזלעןדערשמעקען איהם שוין און קלייבען זיך צוזאמען .	`` No , I did _not_ mean to tell you that ; but I admit that I should think it true if I believed what you say of yourself , '' said Deronda , gravely .
.	
.	
— איהר האלט נישט פוןנאציאנאליזם  ?	
— האט דעראנדא געפרעגט , זעהענדיג ווי רער שפאטפאסט זיך נישט שטארק צו זיין פנים .	
#
— זאגט בעסער אז ער פיהלט דאס נישט — האט מרדכי זיך	Here Sir Hugo and Grandcourt turned round and paused .
#
אנגערופען קוקענדיג אויף פאש'ן — אויב דער נאציאנאליזם ליגט נישט איןהארצען וואס העלפט ער אלס אן אידעאל  ?	`` I never can get Mr. Deronda to pay me a compliment , '' said Gwendolen . `` I have quite a curiosity to see whether a little flattery can be extracted from him .
	``
#
— איך גיב צו , מרדכי — האט פאש געזאגט שמייכלענדיג — דער נאציאנאליזםהאלט דאך אבער שוין ביי אויסשטארבען און אויך  .	`` Ah ! `` said Sir Hugo , glancing at Deronda , `` the fact is , it is useless to flatter a bride .
האלט רי נאציאנאלעאידעע ווי א גייסט וואס קומט אנזאגען רעם טויט . .	We give it up in despair . She has been so fed on sweet speeches that every thing we say seems tasteless .
.	``
#
— אמאל ווייזט זיך אויס אז א געפיהל שטארבט אב און פלוצי לונג לעבטער אויף שטארק און גרויס — האט דעראנדא געזאגט — א סך פעלקער האבעןאויפגעלעבט .	`` Quite true , '' said Gwendolen , bending her head and smiling . `` Mr. Grandcourt won me by neatly-turned compliments .
מיר וועלען נאך דערלעבען צו זעהן די אויפלעבונג פון דיארבייט פעריאנדערע קליינע פעלקער און נאציאנען .	If there had been one word out of place it would have been fatal . ``
#
— אמן  ! אמן  !	`` Do you hear that ?
— האט מרדכי געזאגט קוקע דיג אזוי גליקליך אויףדעראנדא'ן . א ניי לעבען האט ער דערפיהלט , זיין רוקען האט זיך איהםאויסגעגלייכט און דאס פנים האט בעקומען א פרישען און געזונטעןאויסזעהן .	`` said Sir Hugo , looking at the husband .
#
— דאס קען נאר זיין מיט אזעלכע אבנעשטאנענע פעלקער — קאט פאשגעזאגט — מיר האבער אין אייראפא ווייסען אז דער נאציאנאליזם מוזשטארבען .	`` Yes , '' said Grandcourt , without change of countenance .
עס וועט נאך אויפלעבען אין די לענ דער , וואו מענשען זיינעןאונטערדריקט , דער פראגרעס איז אבער געגען נאציאנאליזם . — פון וואנען ווייסען מיר אז דער פראגרעס פיהרט אונז אויפ'ן גוטעןוועג  ?	`` It 's a deucedly hard thing to keep up , though .
— האט ביוקען געפרעגט — אפשר אזוי ווי מיר זעהן אלץפארטשריטענדער געהן מיר גאר אין בלאטע אריין  ?	``
#
	All this seemed to Sir Hugo a natural playfulness between such a husband and wife ; but Deronda wondered at the misleading alternations in Gwendolen 's manner , which at one moment seemed to excite sympathy by childlike indiscretion , at another to repel it by proud concealment .
	He tried to keep out of her way by devoting himself to Miss Juliet Fenn , a young lady whose profile had been so unfavorably decided by circumstances over which she had no control , that Gwendolen some months ago had felt it impossible to be jealous of her .
— אלץ וואס געשעהט אין לעבען איז נישט ווייל מיר ווילען אזוי אדער נישט— האט לילי געזאגט — דאס איז דאס געזעץ פון לעבען .	Nevertheless , when they were seeing the kitchen -- a part of the original building in perfect preservation -- the depth of shadow in the niches of the stone-walls and groined vault , the play of light from the huge glowing fire on polished tin , brass , and copper , the fine resonance that came with every sound of voice or metal , were all spoiled for Gwendolen , and Sir Hugo 's speech about them was made rather importunate , because Deronda was discoursing to the other ladies and kept at a distance from her .
אזוי ענטוויקעלטזיך דאס לעבען און דער מענש , מיר קענען זיך גארנישט העלפען .	It did not signify that the other gentlemen took the opportunity of being near her : of what use in the world was their admiration while she had an uneasy sense that there was some standard in Deronda 's mind which measured her into littleness ? Mr. Vandernoodt , who had the mania of always describing one thing while you were looking at another , was quite intolerable with his insistence on Lord Blough 's kitchen , which he had seen in the north .
#
— איך פערשטעה נישט ווי אזוי איהר רופט יעדער געשעהעניט און איבערבייטאז דאס איז אזוי דאס געזעץ פון מענשליכע ענטוויקלונג — האט דער ,אנדאגעזאגט — אויב אזוי דארפען מיר זיצען און שווייגען און לאזען אלץגעהן אזוי ווי עס געהט .	`` Pray do n't ask us to see two kitchens at once . It makes the heat double .
פון וואגען ווייסען מיר אז מיר רופען נישט אןנארישע , פאלשע זאכען מיט'ן נאמען געזעץ אין דער צייט וואס מיט אביסעל אנשטרענגונג וואלט  . מען דאס געקענט אויסמיידען  ?	I must really go out of it , '' she cried at last , marching resolutely into the open air , and leaving the others in the rear .
ווען מירוואלטען געקעמפפט גע . גען דעם וואלטען מיר עס בעזיענט , ניט אזוי ווימיר לאזען אראפ די הענד און זאגען אזוי איז דאס געזעץ פוןענטוויקלונג .	Grandcourt was already out , and as she joined him , he said --
#
— דאס איז אמת  !	
— האט מרדכי געזאגט — וועה איז צו דעם מענשען וואסזעהט נישט קיין מעגליכקייט פון ווידערשטאנד אין אונזער דור  !	
איך גלויבאין דעם וואוקס , אין דעם גרויסקייט  ,פון אלעם ארום מיר .	
דאס לעבען פוןא פאלק וואקסט , ווערט גרויס און שטארק , ווייל זיי זיינען צוזאמען איןליידען און אין פריידען . דאס פאלק נעהמט די געדאנקען פון אנדערעפעלקער פון דער וועלט צו זיך אריין , קאכט עס זיי איבער אין זייןאייגענעם פייער פון הארצען און זיי ווערען ניי און אייגען און ווערען אברכה פאר דער גאצער וועלט .	`` I wondered how long you meant to stay in that damned place '' -- one of the freedoms he had assumed as a husband being the use of his strongest epithets .
יעדעם פאלק איז א גליעד פון דעם גרויסעןגוף פון אלע פעלקער .	
און אויב א פאלק שווייגט , ווערט שוואך און מיער ,זיינע הייליגע עראינערונגען שלאפען אין איהם און זיין גייסט ווערט שלאף; אויב א נשמה פון א פאלק ווערט קלענער און דער וואס זעהט דאס צודוכט זיך איהם אז באלד וועט די נשמה אויסגעהז . איהם דאכט זיך דאסאזוי ווייל דאס פאלק איז נישט פעראייניגט .	Gwendolen , turning to see the rest of the party approach , said --
ווי קען מען אבער זאגעןאז דאס פאלק איז טויט און וועט שוין קיינמאל נישט לעבען  ?	
דאס קעןנאר זאגען א מענש וואס די נשמה פון זיין פאלק לעבט נישט אין איהם .	
אמענש וואס האטאין זיך די נשמה פון זיין פאלק , וועט ער נישט אראבלאזען די הענד אוןזאגען : פערפאלען .	
ער וועט זאגען : איך האב א מלחמה פאר זיך .	
איךוועל רופען צו מלחמה .	
איך וועל אנצינדען א פייער אין די הערצער פוןטויזענדער מענשען און מיר וועלען צוזאמען קעמפפען און זעהןאויסצוטרעטען נייע וועגען און פיהרען דאס פאלק צו א ניי לעבען  !	
#
—איך לייקען נישט דעם פאטריאטיזם — האט גדעון געזאגט — מיר אלעווייסען אבער אז איהר , מרדכי , האט א מאדנעם געדאנק . איהר ווייסטדאך געוויס ווי מרדכי דענקט — האט גדעון זיך געווענדעט צו דעראנדא'ן —איך בין א ריכטיגער אידן איך עטעה מיט מיין פאלק פונקט ווי יערעראיינער שטעהט מיט זיין פאמיליע .	`` It was certainly rather too warm in one 's wraps .
איך בין אויך פאר אנהאלטען אוןבעשיצען דעם כבוד פון מיין פאלק .	
איך האב אויך פיינט די אירען וואסטויבען זיך .	
אז מיר האבען שוין גלייכבערעכטיגונג טאר זיך אודאי קיינערניט שמד'ען .	
איך בין אבער פאר אבשאפען רי אלע אבער גלויבענס וואסזיינען נאך ביי אונז פאראן און אויך אונזער בעזונדערקייט אוןאבגעשיידקייט פון רי אנדערע פעלקער . מיר דארפען זיך איצטצוזאמענשמעלצען מיט די פעלקער צווישען וועלכע מיר לעבען .	``
דאס פאדערטפון אונז די צייט .	
איך האב גארנישט געגען דעם אז מיינע קינדער זאלעןחתונה האבען מיט גוים : און איך זאג אויך אז דארט איז דאס פאטערלאנדוואו עס לעבט זיך גוט .	
#
— אזא לאנד איז אבער זעהר שווער צו געפינען — האט פאש געזאגט — איהרגדעון , פערדיענט צעהן שילינג א וואך מעהר און האט נאר א העלפט קינדערוויפיעל איך האב .	They walked on the gravel across a green court , where the snow still lay in islets on the grass , and in masses on the boughs of the great cedar and the crenelated coping of the stone walls , and then into a larger court , where there was another cedar , to find the beautiful choir long ago turned into stables , in the first instance perhaps after an impromptu fashion by troopers , who had a pious satisfaction in insulting the priests of Baal and the images of Ashtoreth , the queen of heaven .
אויב אימיצער וועט עפענען א זייגער פאבריק איןירושלים וועל איך גלייך אהין טאהרען , וואס זאגט איהר , מרדכי  ?	The exterior -- its west end , save for the stable door , walled in with brick and covered with ivy -- was much defaced , maimed of finial and gurgoyle , the friable limestone broken and fretted , and lending its soft gray to a powdery dark lichen ; the long windows , too , were filled in with brick as far as the springing of the arches , the broad clerestory windows with wire or ventilating blinds .
	With the low wintry afternoon sun upon it , sending shadows from the cedar boughs , and lighting up the touches of snow remaining on every ledge , it had still a scarcely disturbed aspect of antique solemnity , which gave the scene in the interior rather a startling effect ; though , ecclesiastical or reverential indignation apart , the eyes could hardly help dwelling with pleasure on its piquant picturesqueness .
	Each finely-arched chapel was turned into a stall , where in the dusty glazing of the windows there still gleamed patches of crimson , orange , blue , and palest violet ; for the rest , the choir had been gutted , the floor leveled , paved , and drained according to the most approved fashion , and a line of loose boxes erected in the middle : a soft light fell from the upper windows on sleek brown or gray flanks and haunches ; on mild equine faces looking out with active nostrils over the varnished brown boarding ; on the hay hanging from racks where the saints once looked down from the altar-pieces , and on the pale golden straw scattered or in heaps ; on a little white-and-liver-colored spaniel making his bed on the back of an elderly hackney , and on four ancient angels , still showing signs of devotion like mutilated martyrs -- while over all , the grand pointed roof , untouched by reforming wash , showed its lines and colors mysteriously through veiling shadow and cobweb , and a hoof now and then striking against the boards seemed to fill the vault with thunder , while outside there was the answering bay of the blood-hounds .
#
רעראנדא האט זיך געוואונדערט ווי אזוי מרדכי ה .	`` Oh , this is glorious !
אט געדולד דא אהער צוקומען אין דער צייט ווען אלע בעציהען זיך אזוי שלעכט צי זיינעגעדאנקען .	`` Gwendolen burst forth , in forgetfulness of everything but the immediate impression : there had been a little intoxication for her in the grand spaces of courts and building , and the fact of her being an important person among them . `` This _is_ glorious !
עס איז דאך א גרויסער וועהטאג פאר א מענשען , ווען ער זעהטווי זיינע טייערסטע פערלאנגען און האפר נוננען ווערען אויסגעלאכט .	Only I wish there were a horse in every one of the boxes . I would ten times rather have these stables than those at Diplow .
	``
#
מרדכי'ן  .	But she had no sooner said this than some consciousness arrested her , and involuntarily she turned her eyes toward Deronda , who oddly enough had taken off his felt hat and stood holding it before him as if they had entered a room or an actual church .
האט דאס אבער נישט געארט . ער האט אלץ געהערטאון איבערגעטראגען .	He , like others , happened to be looking at her , and their eyes met -- to her intense vexation , for it seemed to her that by looking at him she had betrayed the reference of her thoughts , and she felt herself blushing : she exaggerated the impression that even Sir Hugo as well as Deronda would have of her bad taste in referring to the possession of anything at the Abbey : as for Deronda , she had probably made him despise her .
ער האט שוין נישט אזוי געוואלט זיי זאלען איהםפאלגען , זאלען זיי איהם כאטש אויסהערען .	Her annoyance at what she imagined to be the obviousness of her confusion robbed her of her usual facility in carrying it off by playful speech , and turning up her face to look at the roof , she wheeled away in that attitude . If any had noticed her blush as significant , they had certainly not interpreted it by the secret windings and recesses of her feeling .
א פייער האט געברענט איןזיין הארצען און ער האט דאס געמוזט ארויסגעבען : ער האט זיך טאקענישט איינגעהאלטען און געזאגט :	A blush is no language : only a dubious flag-signal which may mean either of two contradictories . Deronda alone had a faint guess at some part of her feeling ; but while he was observing her he was himself under observation .
#
— פאש , איהר ווילט הערען וואס איך זאג , ווער עס האט נישט ליעב זיינעברידער זאל ער זיך האלטען פון ווייטען און זיך נישט צוריהרען צו אונזערגרויסער ירושה . טויזענדער , טויזענדעראירען האבען זיך אויסגעמישט צווישעןרי גויס , זאלען זיי האבען די ברכה פון אלע גויס .	`` Do you take off your hat to horses ?
איהר קענט אבער זיינישט נאכטהאן .	
איהר זייכט איינער פון די וואס מוזען ארומוואנדערעןצווישען ר - י פעלקער אויף דער וועלט אלס א איר און וואס איהר זאגט אזהלואי וואלטען מיר נישט געבוירען אלס אירען , זיי זאגען אז זיי זיינעןגארנישט צוגעבונדען צו זייער פאלק .	
זיי ווילען בעהאלטען זייע .	
ראידישקייט דערמיט וואס זיי לאכען אב  .	
פון דעם , כדי גוים וועלען זעהןאון זאגען אז זיי זיינען ניט קיין אידען .	
צו דערמיט וואס איינער ווערטא בירגער אין א לאנד הערט אויף זיין בלוט צו ווערען איריש , דאס בלוטוואס האט אזוי פיעל געליטען פאר רי לעצטע אכצעהן הונדערט יאהר  ? וואס איז דאס לעבען פון אזא איינעם וואס דערהט זיך ארום צווישען אפאלק וואס איז איהם פרעמד און אונבעקאנט און מיט זיין אייגען בלוט אוןפלייש , מיטזיין פאלק האט ער אלע פערים איבערגעריסען  ?	`` said Grandcourt , with a slight sneer .
ער איז אפרעמדער זיין גאנץ לעבען .	
א פרעמדער אין גייסט און נשמה , כאטש ער טהוטאלץ נאכמאכען דעם נייעם פאלק , ער זויגט זיך אויס זיין אייגען בלוט .	
עראיז קיין מענש נישט .	
ער האט נישט ליעב זיינע ברידער , ער איז אבגעריסעןפון זיין פאלק און וועה איז איהם זיין לעבען .	
בין איך נישט גערעכט פאש  ?	
#
	`` Why not ?
— נישט אין גאנצען , מרדכי — האט פאש געזאגט — אויב איהר דענקט אז איךבין אונצופריערען פון דעם וואס איך בין א איר . איהר זייט אבער גערעכטמיט דעם וואר איהר האלט אז רי קריסטען האבען מיך נישט ליעב איבערריעם .	`` said Deronda , covering himself . He had really taken off the hat automatically , and if he had been an ugly man might doubtless have done so with impunity ; ugliness having naturally the air of involuntary exposure , and beauty , of display .
#
— די קאטאליקען און די פראטעסטאנטען האבען זיך נישט וועניגער פיינדגעהאט — האט גדעון געזאגט — מיר מוזען ווארטען ביז מענשען וועלעןאיינע די אנדערע בעסער פערשטעהן . אין רעם זין האבען זיי ווייטער גערעדט , ביז לילי האט גע מאכט אבעמערקונג :	Gwendolen 's confusion was soon merged in the survey of the horses , which Grandcourt politely abstained from appraising , languidly assenting to Sir Hugo 's alternate depreciation and eulogy of the same animal , as one that he should not have bought when he was younger , and piqued himself on his horses , but yet one that had better qualities than many more expensive brutes .
#
— נו , וויפיעל די אירען זאלען נישט האבען אמאל אייפגע - טהאן — האטלילי געזאגט — איצט זיינען זיי אבער געבליבען שטעהן אויף אן ארט . זייזיינען גרויסע עקשנים און האלטען זיך ביי אלטע אנגעלעבטע געדאנקען .	`` The fact is , stables dive deeper and deeper into the pocket nowadays , and I am very glad to have got rid of that _démangeaison_ , '' said Sir Hugo , as they were coming out .
פאראן ביי זיי אזעלכע וואס ווייזען ארויס פעהיגקייטען אלס איינצעלנעמענשען , אבער אלס פאלק ענטוויקלען זיי זיך אבער גאר נישט .	
#
— דאס איז פאלש  !	
— האט מרדכי גערעדט הייס — קוקט אריין אין דערגעשיכעט פון אונזער פאלק , פון זיין  . געבוירען אין דער מדבר ביז היינט ,ווי גרויס און וואונדערבאר מיין פאלק איז  !	`` What is a man to do , though ?
וואו איז דא אן אנדערפאלק וואס קען זיך בעריהמען ווי די אידען אז זייער תורה , זייעררעליגיאן און מאראליש לעבען איז געווארען  . איין זאך , איינס ווי דאסבלוט וואס שטראמט אין מענשליכען הארצען  ?	`` said Grandcourt .
וועלכעס פאלק קען זיךבעריהמען אז עס האט געקאנט אבהיטען זיין גייסט , פערגרעסערען אוןפערשעהנערען אין א צייט ווען זיי זיינען געווארען געיאגט ווי ווילדעחיות אין וואלד  ? ווי גרויס זיינען די גבורות פון אונזער פאלק  !	`` He must ride .
מירהאבען דאך געק .	
עמפפט אנצוהאלטען אונזער ארט צווישען רי פעלקער פוןדער וועלט , מיר האבען געקעמפפט ווי די גרעסטע העלדען ווען מען האט אונזרי הענד אנגעהאקט האט מען געקעמפפט מיט די צייהן . און ווען ציון איזצואקע .	I do n't see what else there is to do .
רט געווארען , אונזער לאנד איז געווארען וויסט און דורכגעזאפטמיט דעם בלוט פון אונזערע קינדער האבען מיר ניזאגט : אונזער גייסט לעבט ! און דער גייסט וועט זיין אונזער גרויסע ירושה וואס וועט איבערגעהן פוןאיין דור צו דעם אנדערען , אייביג וועט זיין אונזער ירושה , אייביג איזאונזער האפנונג .	And I do n't call it riding to sit astride a set of brutes with every deformity under the sun .
אונזערע קינדער זיינען רייך מיט אונזער גרויסעפערגאנגענהייט און אונזער צוקונפט האט הינטער זיך אן אייביגעןפונדאמענט , אייביג , אייביג  !	``
#
אזוי האבען די אידען געזאגט און האבען די ירושה מיט זיך מיטגעטראגען ,כאטש זיי זיינען גאנץ אפט מיעד געווארען און הא .	
בען כמעט דעם אטהעספערלארען .	
אפט זיינען מיר געווען ווי רי פערוואונדעטע העלדען וואסליענען צווישען טויטע אויפ'ן שלאכטפעלד . מיר זיינען געווארען אויסגעלאכט און אויסגעשפעט פון אוניערעפיינד וואס האבען זיך געיאגט נאך אונז ווי נאך א פרעמדען הונד .	This delicate diplomatic way of characterizing Sir Hugo 's stud did not require direct notice ; and the baronet , feeling that the conversation had worn rather thin , said to the party generally , `` Now we are going to see the cloister -- the finest bit of all -- in perfect preservation ; the monks might have been walking there yesterday .
דיאידען זיינען בערויבט געווארען און די גוים האבען זיך געבארען איןזייער בלוט .	
און דער איר האט זיך גענומען לערנען און לערנט איצט אלעמען .	
אונזער נאטור איז נישט צו זיצען שטיל און רוהיג אויף איין ארט .	
מירהאבען זיך שטענדיג דערמאנט אן אונזערע אמאליגע גוטע און גרויסעצייטען אום מיר זאלען וויסען יוי צו לעבען ווייטער .	
רי גוים האבעןגעזאגט צו אונז : וואס עס איז אייערס געהערט צו אונז און נישט מעהר צואייך .	
זיי האבען געלייענט אונזערע ספרים און נישט געקענט זיי פערשטעהן .	
זיי האבען גענומען דעם פארמענט פון אונזערע סטרי תורות און געמאכט פוןזיי שיך פאר זייערע רויבערישע סאלדאטען . און אונזערע גרויסע חכמים אוןגעלעהרטע האבען פערגרעסערט אונזערע אוצרות , טיעפער געמאכט און רייכער .	``
די צרות זיינען אבער גע - ווען זעהר גרויס צו ליידען .	
אזוי שרעקליך  !	
אוןפיעל אירען האבען פאר צרות פערגעסען זייער פאלק .	
וואס איז רערוואונדער אז א סך אידען זיינען אבערגלויביג און אוניויסענד  ?	
וואס איזדער וואונדער  ?	
#
מרדכי האט זיך אויפגעהויבען פון שטוהל וואס .	
איז געשטאנען לעבעןאויווען . ער האט זיך אנגעשפארט אן אויווען און געווארען אלץ מעהראון מעהר בעגייסטערט , נאר זיין שטימע איז געווארען הייזעריג :	But Gwendolen had lingered behind to look at the kenneled blood-hounds , perhaps because she felt a little dispirited ; and Grandcourt waited for her .
#
— וואס איז דער וואונדער  ?	
די נאכט איז איבער זיי , זיי זעהן גארנישט ,אין זייער פינסטערקייט זעהן נישט די צוקונפט .	
די זון איז אונטערגאנגעןאיבער די נביאים און רער טאג איז זיי פינסטער .	
אבער וועלכעס פאלק פוןדי גוים האט נישט א זעהר גרויסע טחייל אונוויסענדע מענשען  ?	
זייפעראכטען רי איניייסענהייט פון רי אירען , וואס זיי גלויבען , נישטוויסענדיג אליין וואס זיי טהוען .	
ערגער זיינען אבער די מענשען וואסגלויבען גארנישט .	
אויף אלע טהיילען וועלט זעהט איהר ווי די מענשען טהועןנאך רי אידען , גלויבען אין אונזער גאט , אין דעם איינציגען גאט .	
דעראירישער גייסט איז נישט געשטארבען , ער לעבט .	
גענייט זיין לעבען .	
זאלאונזער פאלק זיך פעראייניגען אין איינעם ווי אונזערגלויבען איז איינס .	
זאל ער זעהן דאס לאנד פון וועלכען ער איז פערטריבעןגעווארען און נאך וועלכען ער בענקט אזוי שטארק און ער וועט צוריקפיהרען א לעבען ווי א פאלק . אלע אירען פון אלע עקען וועלט וועלעןצוריק געהן נאך ארץ ישראל און וועלען לערנען די גאנצע וועלט , זיי וועלעןצושפרייטען ליכט צווישען אלע פעלקער  !	`` You had better take my arm , '' he said , in his low tone of command ; and she took it .
#
מרדכי'ס שטימע איז אלץ גע ,ווארען שוואכער און שוואכער ,	`` It 's a great bore being dragged about in this way , and no cigar , '' said Grandcourt .
#
ער האט שוין נישט געקענט רערען נאר זיינע אויגען האבען געלויכטען מיטא הייליג פייער און בעגייסטערט זיינע צוהערער . ער איז אלץ מעהראויפגערעגט געווארען וויטענדיג אז דעראנדא הערט איהם אויס .	`` I thought you would like it .
ער האטאויסגעזעהן ווי איינער וואס לאזט א צואה פאר זיין טויט .	
ער האט אבערנישט געקוקט אויף דעראנדא'ן ווען ער האט גערעדט .	
ער האט אויף קיינעםנישט געקוקט .	
ער האט גערעדט און אליין נישט געוואוסט וואס מיט איהםטהוט זיך . ער איז געווען אזוי פערטהאן אז מען האט געקענט טהאן מיטאיהם וואס מען וואלט געוואלט און ער וואלט עס זאגאר נישט געפיהלט .	``
#
	`` Like it ! -- one eternal chatter .
דעראנדא האט געהערט זיינע רייד און האט זיך דערמאנט וואס מרדכי האטאיהם געזאגט אז ער וועט גלויבען אין דעם וואס ער גלויבט , ער וועטהאפען די זעלבע האפנונג וואס ער האפט און ער וועט זעהן דאס גאנצעגרויסקייט פון די אידען ווי ער , מרדכי , זעהט דאס .	And encouraging those ugly girls -- inviting one to meet such monsters . How that _fat_ Deronda can bear looking at her -- -- ''
#
די ווערטער וואס מרדכי האט מיט איהם אמאל גערעדט און ער האט זיי נישטפערשטאנען זיינען איהם פלוצלונג קלאהר געווארען . דאס וואס האט זיךאיהם פריהער אויסגעוויזען ווי א חלום אוזן א פאנטאזיע איז ביי איהםאיצט געווארען א ווירקליכקייט .	`` Why do you call him _fat_ ?
ווי גרויס איז דער ארימער .	
קראנקעראיר , רער איר מרדכי , וואס שטעהט שוין איבער זיין אפענעם קבר , גלוסטאזוי צו דעם לאנד פון זיין פאלק , דאס לאנד וואס ער וועט נישטדערלעבען אליין צו זעהן מיט זיינע אייגענע אויגען . ער זעהט דעם גרויסעןטאג , וואס , אז ער וועט קומען , וועט ער שוין נישט זיין אויף דערוועלט .	Do you object to him so much ?
. .	``
#
אלע אויגען זיינען געווען אנגעשטעלט אויף מרדכי'ן .	`` Object ?
יערער האט געקוקטאויף איהם מיט פריינדשאפט און ליענע .	no .
און גדעון האט אנגעהויבען  :— יעדער מענש מיינט אז נאר זיינע געדאנקען זיינען די ריכטיגע .	What do I care about his being a _fat_ ?
איהר ,מרדכי , האט זיך אייערע געדאנקען וואס איהר ליעבט זיי זעהר שטארק .	It 's of no consequence to me .
איךבין אבער זיכער אז איהר גלויבט אויך נישט אז ארץ ישראל וועטאויסגעלייזט ווערען דורך נסים .	I 'll invite him to Diplow again if you like .
איהר האלט אויך אז א סך נארישע זאכעןזיינען דא ביי אונז וועלכע מען דארף אבשאפען .	``
#
— איך האלט נישט פון רי נארישע זאכען — האט מרדכי געזאגט — איך ליעבאבער אונזער גלויבען וואס שטארקט אונז און גיט אונז קראפט צו לעבען . מיר אירען זיינען אנדערש פון אלע פעלקער , מיר שטעהן בעזונדער .	`` I do n't think he would come .
און מירמוזען זעהן צו ווערען א פאלק , א גרויסעס און א שטארקעס , און לעבעןבעזונדער אין אן אייגען לאנד , פונקט ווי יערעס פאלק האט זיין אויגעןלאנד . אלע אירישע גבירים און עשירים , רי געלד מאגנאטען , אלע אירישעגעלעהרטע , שרייבער און קינסטלער דארפען אויפשטעהן ווי איין מאן , זיךפעראייניגען אין איין מחנה און טהאן דאס זעלבע וואס אונזערע עלטערעןהאבען געטהאן אין משה רבינו'ס צייטען און אין עזרא הסופר'ס .	He is too clever and learned to care about _us_ , '' said Gwendolen , thinking it useful for her husband to be told ( privately ) that it was possible for him to be looked down upon .
#
אונזערע רייכע האבען גענוג געלד אויסצולייזען ארץ ישראל פון די ארימעטערקען וואס ווילען נישט מעהר ווי געלד .	
מיר זייגען גענוג קלוג אוןגעלערענט צו קענען אויפבויען ארץ ישראל אויר'ס ניי , זי זאל זיין גרויסאון שטארק . ארץ ישראל זאל זיין א אידישע רעפובליק וואו יערער מענשזאל קענען וואוינען רוהינ און זיכער , אלע זאלען זיין גלייך פונקט וויאין רי אמאליגע צייטען ווען איין געזעץ פאר אלע האט גערערשט אין ארץישראל .	`` I never saw that make much difference in a man .
מיר וועלען זיין די איינצי .	
גע אין מזרח .	
רי אנדערע פעלקער זיינעןדאך פערקנעכטעט ביי זייערע הערשער און ביי אונז וועלען אלע לעבען פריי . מיר וועלען האבען אן אייגענע היים פון וואנען מיר וועלען עןענעןבעשיצען אונזערע ברידער אין די אלע אנדערע לענדער .	Either he is a gentleman , or he is not , '' said Grandcourt .
וועט א איר ערגעץגע .	
קריוודעט און בעליידיגט ווערען וועלען מיר זיך איינשטעלען פאר איהם .	
פונקט ווי ענגלאנד און אמעריקא שטעלען זיך איין פאר זייערע בירגער .	
אלע פעלקער וועלען אונז רעספעקטירען , זיי וועלען זעהן אז אין ארץ ישראלזיצט דאס אירישע פאלק א רוהיגע .	
